ID da Análise,ID da Intimação,Processo,Órgão Julgador,Classificação Manual,Resultado IA,Acertou,Tempo Processamento (s),Custo Real ($),Tokens Input,Tokens Output,Modelo,Temperatura,Data da Análise,Informação Adicional
b44c77e4-406e-4303-8233-319b3fc06ee1,01ca09b2-fd5e-403c-9663-622a8f0f18da,5003195-34.2024.8.21.0024,Juízo da 2ª Vara Judicial da Comarca de Rio Pardo,RENUNCIAR PRAZO,OCULTAR,Não,1.83,0.000369,2185,68,gpt-4o-mini,0.0,27/08/2025 13:33,Extinção ok (quase tanto faz em relação a ocultar)
a03cb8f9-9d98-444b-adf5-3dcfe86e9c00,997d547d-1d92-4528-9059-ce5b2e164c6f,5000166-86.2020.8.21.0065,Juízo da 2ª Vara Judicial da Comarca de Santo Antônio da Patrulha,RENUNCIAR PRAZO,OCULTAR,Não,1.43,0.000355,2090,70,gpt-4o-mini,0.0,27/08/2025 13:33,Renunciar ao prazo(na prática não muda muito em relação ao triado pela IA)(IA costuma dar ocultar)
ba890a46-cc41-4173-ab4d-9a1561f87d7e,f984ab19-8c2a-4f07-9505-31b93abf9613,5021775-33.2025.8.21.0039,Juízo da Vara de Família da Comarca de Viamão,RENUNCIAR PRAZO,OCULTAR,Não,1.06,0.00038,2282,63,gpt-4o-mini,0.0,27/08/2025 13:33,decisão recebendo a fase de cumprimento de sentença (nosso assistido está no polo ativo).
3acf9040-edcf-45cb-b8ed-aa1a2195361c,73156824-908c-45d2-a780-41db1288454b,5007936-38.2025.8.21.0039,Juízo do Juizado Especial Cível da Comarca de Viamão,ANALISAR PROCESSO,OCULTAR,Não,0.94,0.000332,1928,72,gpt-4o-mini,0.0,27/08/2025 13:33,"verificar se houve o pagamento da RPV, pois entre a petição e a intimação já decorreu o prazo de 60 dias. No caso, como não houve o pagamento, elaborar peça - sequestro de valores"
07ce7ed2-f540-42b8-8788-746dce53fed2,0485b576-186f-4a64-b5ed-748ffed2a026,5021814-30.2025.8.21.0039,Juízo da 3ª Vara Criminal da Comarca de Viamão,RENUNCIAR PRAZO,ANALISAR PROCESSO,Não,1.24,0.000423,2498,80,gpt-4o-mini,0.0,27/08/2025 13:33,"decisão inicial, intimado da parte inicial da decisão que recebe o cumprimento de sentença - haverá nova intimação para manifestação a respeito de eventual impugnação pelo ente público"
e01f5afc-386c-4b1b-af27-be091b3993bc,66a31c5f-d85e-4e60-8371-7e34e3b1fbc6,5016186-60.2025.8.21.0039,Juízo da 3ª Vara Criminal da Comarca de Viamão,RENUNCIAR PRAZO,OCULTAR,Não,1.06,0.000451,2726,70,gpt-4o-mini,0.0,27/08/2025 13:33,"analisar - conferir RPV e, depois de conferida, está certa, só renunciar)

FATO RELEVANTE: triou certa a anterior que era idêntica: 5016185-75.8.21.0039"
d6bef7ed-0dce-41e5-995b-d39f6e565973,856d3b2b-4d9a-4051-9484-810d07e7330e,5010746-89.2025.8.21.0037,Juízo da 3ª Vara Cível da Comarca de Uruguaiana,RENUNCIAR PRAZO,ELABORAR PEÇA,Não,1.22,0.000464,2800,74,gpt-4o-mini,0.0,27/08/2025 13:33,"despacho que recebe a petição de fase de cumprimento de sentença (intimação é referente a primeira parte do despacho, demais prosseguimentos dependem da conduta da parte devedora)"
740c88e7-b6c8-4cf3-809d-d80a392a386f,18951ca4-4453-4854-8c1f-5451e1bd2c8e,5008155-81.2024.8.21.0008,Juízo da 1ª Vara de Família e Sucessões da Comarca de Canoas,ELABORAR PEÇA,CONTATAR ASSISTIDO,Não,1.31,0.000352,2065,70,gpt-4o-mini,0.0,27/08/2025 13:33,"avaliar pra quem devem ir os valores e peticionar informando. No caso, para o FADEP."
e9d21866-0ca9-4ea7-be3c-b340c83c6c63,391de91e-1ba7-4d8a-8fde-c8ea6476b60b,5007204-50.2025.8.21.0009,Juízo da 2ª Vara Cível da Comarca de Carazinho,RENUNCIAR PRAZO,ELABORAR PEÇA,Não,3.89,0.000436,2613,74,gpt-4o-mini,0.0,27/08/2025 13:33,decisão que recebe a fase de cumprimento de sentença por nós proposta (errado pois não identificou que a parte que representamos é a autora - polo ativo)
fc8e709a-0770-4c5a-8b9f-4aebffc8176d,ee913ffd-a425-486a-a271-911d8aef4f87,5006185-03.2025.8.21.0011,Juízo da 2ª Vara Cível da Comarca de Cruz Alta,RENUNCIAR PRAZO,ELABORAR PEÇA,Não,2.21,0.000417,2487,74,gpt-4o-mini,0.0,27/08/2025 13:33,"intimação da primeira parte da decisão, que recebe o cumprimento e determina a intimação da parte adversa para pagamento"
